"gene"	"freq_DE"	"freq_lasso"
"438"	"PHLDA1"	100	1
"439"	"PID1"	100	0
"440"	"PKIA"	100	0
"441"	"PLA2G4A"	100	0
"442"	"PLAGL1"	100	62
"443"	"PLAU"	100	0
"444"	"PLAUR"	100	0
"445"	"PLBD1"	69	3
"446"	"PLCG1"	100	0
"447"	"PLCL2"	100	0
"448"	"PLD1"	100	83
"449"	"PLD3"	100	2
"450"	"PLEK"	100	1
"451"	"PLEKHA1"	100	0
"452"	"PLEKHA5"	53	0
"453"	"PLGLA"	100	0
"454"	"PLTP"	100	53
"455"	"PNOC"	100	0
"456"	"POU2AF1"	100	0
"457"	"PPARD"	100	0
"458"	"PPIF"	82	0
"459"	"PPP1R16B"	100	0
"460"	"PPP3CC"	100	0
"461"	"PRF1"	100	0
"462"	"PRKCE"	100	0
"463"	"PRKCH"	100	0
"464"	"PRKD2"	100	7
"465"	"PRKD3"	100	0
"466"	"PROM1"	100	0
"467"	"PRRG4"	100	0
"468"	"PRSS21"	100	31
"469"	"PRTN3"	100	0
"470"	"PSD3"	100	0
"471"	"PSMB9"	100	0
"472"	"PTCH1"	100	0
"473"	"PTGDR"	100	0
"474"	"PTGS2"	100	4
"475"	"PTH2R"	100	23
"476"	"PTK2"	100	0
"477"	"PTPN7"	84	0
"478"	"PTPRK"	100	0
"479"	"PTX3"	100	0
"480"	"PYGL"	100	0
"481"	"PYHIN1"	100	0
"482"	"QPCT"	79	0
"483"	"QRSL1"	100	0
"484"	"RAB13"	100	0
"485"	"RAB27B"	99	0
"486"	"RAB30"	100	0
"487"	"RAB32"	100	0
"488"	"RAG1"	100	0
"489"	"RALGPS2"	72	0
"490"	"RARRES3"	100	0
"491"	"RASA2"	86	9
"492"	"RASGRP1"	100	0
"493"	"RBM38"	99	0
"494"	"RBPMS"	100	29
"495"	"RCAN1"	74	0
"496"	"RCBTB2"	100	50
"497"	"RETREG1"	100	4
"498"	"REXO5"	100	0
"499"	"RHAG"	100	22
"500"	"RHOBTB3"	100	0
"501"	"RHOH"	100	21
"502"	"RIPOR2"	100	0
"503"	"RNASE2"	100	0
"504"	"RNASE3"	100	0
"505"	"RORA"	100	0
"506"	"RRM2"	100	0
"507"	"RTN1"	100	1
"508"	"RUBCNL"	100	0
"509"	"RUFY3"	100	0
"510"	"RUNX1"	100	0
"511"	"RUNX2"	100	72
"512"	"S1PR1"	100	0
"513"	"S1PR5"	100	0
"514"	"SARS"	96	5
"515"	"SBF1"	100	37
"516"	"SCCPDH"	100	0
"517"	"SCML1"	100	0
